Category	Number of Reads	Percent of Total	Percent of Section
C7-B7	160	4.404719563411905e-05	0.045405785832259675
B4-B8	158	4.3496605688692565e-05	0.044838213509356434
B3-B10	969	0.00026676082855913347	0.27498879044662267
A11-B10	481	0.0001324168818750704	0.13650114365823066
C9-C1	152	4.1844835852413096e-05	0.04313549654064669
C10-A1	722	0.00019876297029896222	0.20489360856807182
A11-B4	281	7.735788733242158e-05	0.07974391136790605
B8-C10	386	0.0001062638594673122	0.10954145832032647
B9-B3	511	0.0001406757310564677	0.14501472850177935
B4-C10	516	0.00014205220592003394	0.14643365930903746
B3-A2	547	0.0001505863500741445	0.15523103031403776
C9-C10	507	0.00013957455116561472	0.14387958385597285
C3-B3	246	6.772256328745805e-05	0.06981139571709925
C3-A10	73	2.0096533008066817e-05	0.020716389785968476
A2-B3	582	0.00016022167411910805	0.16516354596484456
A1-B10	207	5.698605935164153e-05	0.05874373542048596
C4-B7	1813	0.0004991097855291115	0.5145043107117924
B8-A10	89	2.4501252571478724e-05	0.025256968369194444
B7-B8	585	0.0001610475590372478	0.16601490444919945
C10-A2	617	0.00016985699816407157	0.1750960616156514
B10-C10	548	0.00015086164504685777	0.1555148164754894
C9-B7	193	5.31319297336561e-05	0.054770729160163234
B4-B2	114	3.1383626889309825e-05	0.03235162240548502
A11-A1	338	9.30497007770765e-05	0.09591972257064857
A7-C10	320	8.80943912682381e-05	0.09081157166451935
C1-B1	109	3.0007152025743603e-05	0.030932691598226904
C3-A8	103	2.835538218946414e-05	0.029229974629517163
A7-B3	183	5.037898000652367e-05	0.05193286754564701
B8-C3	62	1.706828830822113e-05	0.017594742010000625
C10-B1	551	0.0001516875299649975	0.15636617495984426
C4-B2	741	0.00020399357478051387	0.2102855456356526
A7-C4	329	9.05720460226573e-05	0.09336564711758397
B8-A5	130	3.5788346452721726e-05	0.03689220098871099
A5-A1	131	3.606364142543497e-05	0.03717598715016261
B9-A7	373	0.00010268502482204004	0.10585223822145537
B9-C2	182	5.010368503381042e-05	0.051649081384195376
B2-B4	117	3.220951180744956e-05	0.03320298088983988
C9-C7	115	3.1658921862023066e-05	0.03263540856693664
A3-A2	317	8.726850635009837e-05	0.08996021318016448
A10-B7	184	5.0654274979236904e-05	0.052216653707098624
A8-B4	85	2.3400072680625745e-05	0.024121823723387954
C4-B8	677	0.00018637469652686624	0.19212323130274875
A3-A1	230	6.331784372404613e-05	0.06527081713387328
B1-B3	373	0.00010268502482204004	0.10585223822145537
B4-A3	493	0.00013572042154762933	0.13990657759565012
B1-B2	953	0.00026235610899572157	0.2704482118633967
A1-C10	483	0.00013296747182049687	0.1370687159811339
A8-A12	52	1.431533858108869e-05	0.014756880395484393
B2-A10	194	5.340722470636935e-05	0.05505451532161486
C3-B8	64	1.761887825364762e-05	0.01816231433290387
B3-A1	566	0.00015581695455569612	0.1606229673816186
A10-A5	151	4.1569540879699855e-05	0.042851710379195065
A10-B3	796	0.00021913479827974228	0.2258937845154919
B4-B9	223	6.139077891505344e-05	0.06328431400371193
A3-C2	202	5.5609584488075305e-05	0.05732480461322784
B4-C2	95	2.6153022407758187e-05	0.026959685337904184
A8-A5	124	3.413657661644226e-05	0.03518948402000125
B3-C1	350	9.635324044963543e-05	0.09932515650806804
B4-B3	451	0.00012415803269367307	0.12798755881468196
C3-B7	83	2.2849482735199258e-05	0.023554251400484706
C10-C9	701	0.00019298177587198407	0.19893409917758773
C1-C2	213	5.8637829187920984e-05	0.060446452389195694
A12-B4	112	3.083303694388333e-05	0.031784050082581776
A8-C3	101	2.7804792244037653e-05	0.02866240230661392
A12-A5	47	1.293886371752247e-05	0.01333794958822628
A10-B8	177	4.87272101702442e-05	0.05023015057693727
B2-A8	100	2.7529497271324406e-05	0.028378616145162298
A7-B7	121	3.3310691698302535e-05	0.03433812553564638
A8-A11	190	5.230604481551637e-05	0.05391937067580837
A3-B1	246	6.772256328745805e-05	0.06981139571709925
B10-B2	131	3.606364142543497e-05	0.03717598715016261
A11-A3	401	0.00011039328405801088	0.1137982507421008
A1-A10	239	6.579549847846534e-05	0.06782489258693788
A1-C4	888	0.0002444619357693607	0.2520021113690412
A7-A1	66	1.8169468199074107e-05	0.018729886655807118
A12-B10	55	1.5141223499228423e-05	0.015608238879839264
B4-A10	162	4.459778557954554e-05	0.04597335815516292
B7-A7	170	4.680014536125149e-05	0.04824364744677591
A3-B8	533	0.00014673222045615908	0.15125802405371505
C2-C4	814	0.00022409010778858066	0.2310019354216211
B10-A2	176	4.8451915197530953e-05	0.04994636441548564
C2-A11	179	4.9277800115670695e-05	0.05079772289984052
C2-A10	201	5.533428951536206e-05	0.05704101845177622
C4-A7	519	0.00014287809083817366	0.14728501779339231
B8-B4	66	1.8169468199074107e-05	0.018729886655807118
C10-B7	1250	0.00034411871589155505	0.3547327018145287
B7-A8	273	7.515552755071563e-05	0.07747362207629307
A2-C2	195	5.3682519679082596e-05	0.055338301483066475
C3-A11	114	3.1383626889309825e-05	0.03235162240548502
B2-C1	84	2.31247777079125e-05	0.02383803756193633
C2-A3	160	4.404719563411905e-05	0.045405785832259675
A10-B1	163	4.487308055225879e-05	0.04625714431661454
A11-C1	210	5.7811944269781256e-05	0.05959509390484082
B1-B10	238	6.55202035057521e-05	0.06754110642548627
B8-A7	156	4.294601574326608e-05	0.044270641186453186
A5-B9	67	1.844476317178735e-05	0.01901367281725874
A12-A3	81	2.229889278977277e-05	0.02298667907758146
A1-C3	96	2.6428317380471427e-05	0.027243471499355805
B1-C1	99	2.7254202298611165e-05	0.028094829983710674
A5-B7	96	2.6428317380471427e-05	0.027243471499355805
B4-C1	174	4.7901325252104466e-05	0.0493787920925824
B2-A7	81	2.229889278977277e-05	0.02298667907758146
C9-A2	165	4.5423670497685275e-05	0.04682471663951779
B4-A1	156	4.294601574326608e-05	0.044270641186453186
A2-A8	259	7.130139793273021e-05	0.07350061581597035
A3-A8	217	5.9739009078773966e-05	0.061581597035002184
C9-A7	70	1.9270648089927085e-05	0.019865031301613607
A11-C9	356	9.80050102859149e-05	0.10102787347677777
B10-A12	55	1.5141223499228423e-05	0.015608238879839264
B9-A3	229	6.304254875133289e-05	0.06498703097242166
C7-A8	99	2.7254202298611165e-05	0.028094829983710674
A5-A11	189	5.2030749842803126e-05	0.05363558451435674
B7-A2	209	5.753664929706801e-05	0.059311307743389205
B10-A8	187	5.1480159897376645e-05	0.0530680121914535
A1-A5	196	5.3957814651795836e-05	0.055622087644518106
A2-B8	77	2.1197712898919792e-05	0.02185153443177497
B10-C3	76	2.0922417926206548e-05	0.021567748270323345
A1-B3	415	0.00011424741367599628	0.11777125700242352
C7-A2	65	1.7894173226360863e-05	0.018446100494355494
B7-A11	346	9.525206055878244e-05	0.09819001186226153
A12-B9	41	1.1287093881243007e-05	0.011635232619516541
C2-A1	144	3.9642476070707146e-05	0.04086520724903371
A1-B8	64	1.761887825364762e-05	0.01816231433290387
A2-B2	138	3.799070623442768e-05	0.03916249028032397
A3-A7	182	5.010368503381042e-05	0.051649081384195376
B3-C3	410	0.00011287093881243007	0.11635232619516542
A11-A7	152	4.1844835852413096e-05	0.04313549654064669
C1-B10	85	2.3400072680625745e-05	0.024121823723387954
B3-A12	256	7.047551301459048e-05	0.07264925733161548
C10-A12	398	0.00010956739913987114	0.11294689225774596
B7-C2	142	3.909188612528066e-05	0.04029763492613046
C7-C3	109	3.0007152025743603e-05	0.030932691598226904
C1-A5	80	2.2023597817059526e-05	0.022702892916129837
A10-B4	148	4.074365596156012e-05	0.0420003518948402
B3-B1	529	0.00014563104056530612	0.15012287940790855
B1-C2	127	3.4962461534582e-05	0.036040842504356116
C1-A2	106	2.9181267107603868e-05	0.03008133311387204
A8-C2	91	2.505184251690521e-05	0.025824540692097688
B9-A11	260	7.157669290544345e-05	0.07378440197742198
C2-A2	140	3.854129617985417e-05	0.039730062603227215
C9-A5	64	1.761887825364762e-05	0.01816231433290387
B1-B9	142	3.909188612528066e-05	0.04029763492613046
A8-A10	167	4.597426044311176e-05	0.047392288962421036
B7-B1	152	4.1844835852413096e-05	0.04313549654064669
C10-B9	400	0.00011011798908529762	0.11351446458064919
A10-A12	131	3.606364142543497e-05	0.03717598715016261
B2-B10	212	5.8362534215207736e-05	0.06016266622774408
B8-A1	78	2.147300787163304e-05	0.022135320593226593
B10-A3	293	8.066142700498052e-05	0.08314934530532553
A2-C1	219	6.028959902420045e-05	0.062149169357905425
B1-A2	140	3.854129617985417e-05	0.039730062603227215
A8-B10	196	5.3957814651795836e-05	0.055622087644518106
B9-A2	256	7.047551301459048e-05	0.07264925733161548
B2-A1	157	4.322131071597932e-05	0.04455442734790481
A12-B3	191	5.258133978822962e-05	0.054203156837259986
A2-B1	134	3.68895263435747e-05	0.03802734563451748
A3-B4	172	4.735073530667798e-05	0.04881121976967915
C3-A7	53	1.4590633553801934e-05	0.01504066655693602
A3-A10	418	0.00011507329859413602	0.11862261548677841
A11-B9	254	6.9924923069164e-05	0.07208168500871223
A2-B9	219	6.028959902420045e-05	0.062149169357905425
C3-A5	81	2.229889278977277e-05	0.02298667907758146
B1-A1	456	0.0001255345075572393	0.12940648962194007
C7-A7	41	1.1287093881243007e-05	0.011635232619516541
A12-C1	52	1.431533858108869e-05	0.014756880395484393
B4-A12	92	2.5327137489618452e-05	0.026108326853549312
A10-C1	109	3.0007152025743603e-05	0.030932691598226904
B10-C1	86	2.367536765333899e-05	0.024405609884839575
C3-B9	41	1.1287093881243007e-05	0.011635232619516541
C2-A7	57	1.5691813444654913e-05	0.01617581120274251
C9-A10	161	4.43224906068323e-05	0.0456895719937113
B1-C3	65	1.7894173226360863e-05	0.018446100494355494
A12-C10	234	6.441902361489912e-05	0.06640596177967976
B3-B9	453	0.00012470862263909955	0.1285551311375852
B9-B8	201	5.533428951536206e-05	0.05704101845177622
C2-B9	83	2.2849482735199258e-05	0.023554251400484706
C2-B7	139	3.826600120714093e-05	0.03944627644177559
B2-C10	418	0.00011507329859413602	0.11862261548677841
A12-C9	121	3.3310691698302535e-05	0.03433812553564638
B4-B1	147	4.046836098884688e-05	0.041716565733388576
B1-A3	227	6.249195880590641e-05	0.06441945864951842
A3-B9	439	0.00012085449302111415	0.12458212487726249
C9-A11	234	6.441902361489912e-05	0.06640596177967976
A2-A10	188	5.175545487008988e-05	0.05335179835290512
A12-B7	61	1.6792993335507888e-05	0.017310955848549
B9-C1	147	4.046836098884688e-05	0.041716565733388576
C7-B3	300	8.258849181397322e-05	0.0851358484354869
A10-C3	112	3.083303694388333e-05	0.031784050082581776
A2-B4	292	8.038613203226727e-05	0.0828655591438739
A7-C1	72	1.9821238035353573e-05	0.020432603624516855
B10-C9	149	4.101895093427337e-05	0.042284138056291824
B9-B4	140	3.854129617985417e-05	0.039730062603227215
B1-C10	481	0.0001324168818750704	0.13650114365823066
C9-B10	161	4.43224906068323e-05	0.0456895719937113
A12-A7	23	6.331784372404613e-06	0.006527081713387328
A11-A5	230	6.331784372404613e-05	0.06527081713387328
A5-A12	55	1.5141223499228423e-05	0.015608238879839264
A11-C7	117	3.220951180744956e-05	0.03320298088983988
C9-B1	120	3.303539672558929e-05	0.03405433937419476
C2-B1	112	3.083303694388333e-05	0.031784050082581776
B9-B10	223	6.139077891505344e-05	0.06328431400371193
A1-C2	117	3.220951180744956e-05	0.03320298088983988
A1-A12	166	4.5698965470398516e-05	0.04710850280096941
A5-B1	91	2.505184251690521e-05	0.025824540692097688
C9-B4	200	5.505899454264881e-05	0.056757232290324595
A11-B8	192	5.2856634760942854e-05	0.05448694299871161
A5-B10	117	3.220951180744956e-05	0.03320298088983988
A10-A1	294	8.093672197769376e-05	0.08343313146677715
C10-C7	389	0.00010708974438545194	0.11039281680468134
B1-C7	46	1.2663568744809226e-05	0.013054163426774656
B2-A11	283	7.790847727784806e-05	0.0803114836908093
A1-C1	126	3.468716656186875e-05	0.03575705634290449
C9-B9	97	2.6703612353184674e-05	0.02752725766080743
B7-A5	113	3.110833191659658e-05	0.03206783624403339
A8-C7	134	3.68895263435747e-05	0.03802734563451748
C2-B10	135	3.716482131628795e-05	0.0383111317959691
B10-B8	89	2.4501252571478724e-05	0.025256968369194444
B10-B4	123	3.386128164372902e-05	0.03490569785854963
B9-A8	229	6.304254875133289e-05	0.06498703097242166
A5-C1	68	1.8720058144500598e-05	0.019297458978710363
A2-A12	151	4.1569540879699855e-05	0.042851710379195065
A1-A8	183	5.037898000652367e-05	0.05193286754564701
B7-C1	152	4.1844835852413096e-05	0.04313549654064669
A2-B7	428	0.00011782624832126846	0.12146047710129464
A5-A8	166	4.5698965470398516e-05	0.04710850280096941
C1-A8	95	2.6153022407758187e-05	0.026959685337904184
C1-A7	87	2.3950662626052233e-05	0.0246893960462912
B4-C3	70	1.9270648089927085e-05	0.019865031301613607
B2-C3	56	1.5416518471941665e-05	0.015892025041290888
B8-A3	103	2.835538218946414e-05	0.029229974629517163
A1-A3	233	6.414372864218587e-05	0.06612217561822815
C2-B4	75	2.0647122953493304e-05	0.021283962108871724
C1-B9	74	2.037182798078006e-05	0.0210001759474201
B8-B3	275	7.570611749614211e-05	0.07804119439919632
C2-C3	77	2.1197712898919792e-05	0.02185153443177497
B2-B7	125	3.441187158915551e-05	0.03547327018145287
B1-A12	44	1.2112978799382738e-05	0.01248659110387141
B9-B2	98	2.6978907325897918e-05	0.027811043822259053
A2-A7	110	3.0282446998456847e-05	0.031216477759678528
B3-C7	297	8.17626068958335e-05	0.08428448995113202
C7-B9	45	1.2388273772095982e-05	0.012770377265323034
A2-C3	79	2.1748302844346283e-05	0.022419106754678217
C1-B7	95	2.6153022407758187e-05	0.026959685337904184
B7-A12	107	2.9456562080317115e-05	0.03036511927532366
C2-A12	53	1.4590633553801934e-05	0.01504066655693602
B8-A8	107	2.9456562080317115e-05	0.03036511927532366
C9-C2	83	2.2849482735199258e-05	0.023554251400484706
A12-B2	44	1.2112978799382738e-05	0.01248659110387141
B4-A7	95	2.6153022407758187e-05	0.026959685337904184
B7-A1	230	6.331784372404613e-05	0.06527081713387328
B9-C9	146	4.019306601613363e-05	0.04143277957193695
B2-C9	107	2.9456562080317115e-05	0.03036511927532366
B2-A5	89	2.4501252571478724e-05	0.025256968369194444
C3-A3	96	2.6428317380471427e-05	0.027243471499355805
A3-A12	111	3.055774197117009e-05	0.03150026392113015
B3-A7	285	7.845906722327456e-05	0.08087905601371255
B1-B4	169	4.652485038853825e-05	0.047959861285324284
B1-B7	148	4.074365596156012e-05	0.0420003518948402
C2-A5	101	2.7804792244037653e-05	0.02866240230661392
A5-C9	117	3.220951180744956e-05	0.03320298088983988
B2-A2	113	3.110833191659658e-05	0.03206783624403339
A5-C3	98	2.6978907325897918e-05	0.027811043822259053
B9-B1	204	5.6160174433501786e-05	0.057892376936131085
A3-C1	147	4.046836098884688e-05	0.041716565733388576
A1-B2	136	3.7440116289001195e-05	0.038594917957420725
C1-A12	57	1.5691813444654913e-05	0.01617581120274251
A7-A2	95	2.6153022407758187e-05	0.026959685337904184
A12-A1	117	3.220951180744956e-05	0.03320298088983988
C3-C7	70	1.9270648089927085e-05	0.019865031301613607
A7-A3	78	2.147300787163304e-05	0.022135320593226593
B4-A2	169	4.652485038853825e-05	0.047959861285324284
B8-C2	47	1.293886371752247e-05	0.01333794958822628
B4-B10	135	3.716482131628795e-05	0.0383111317959691
B8-C9	54	1.486592852651518e-05	0.015324452718387642
B7-C7	203	5.588487946078855e-05	0.05760859077467947
A10-B2	276	7.598141246885537e-05	0.07832498056064793
A7-B2	61	1.6792993335507888e-05	0.017310955848549
B8-A11	139	3.826600120714093e-05	0.03944627644177559
